bg1,bg2,count
bear,beefy,1
beefy,big,1
big,blonde,1
blonde,boy,1
boy,called,1
called,came,1
came,craning,1
craning,did,1
did,didn,1
didn,director,1
director,discover,1
discover,drills,1
drills,drive,1
drive,dudley,1
dudley,dursley,1
dursley,dursleys,1
dursleys,expect,1
expect,fact,1
fact,fear,1
fear,fences,1
fences,finer,1
finer,firm,1
firm,garden,1
garden,greatest,1
greatest,grunnings,1
grunnings,hadn,1
hadn,hardly,1
hardly,harry,1
harry,hold,1
hold,involved,1
involved,just,1
just,large,1
large,lived,1
lived,man,1
man,met,1
met,mr,1
mr,mrs,1
mrs,mustache,1
mustache,mysterious,1
mysterious,nearly,1
nearly,neck,1
neck,neighbors,1
neighbors,nonsense,1
nonsense,normal,1
normal,number,1
number,opinion,1
opinion,page,1
page,people,1
people,perfectly,1
perfectly,philosophers,1
philosophers,potter,1
potter,potters,1
potters,pretended,1
pretended,privet,1
privet,proud,1
proud,rowling,1
rowling,say,1
say,secret,1
secret,sister,1
sister,small,1
small,somebody,1
somebody,son,1
son,spent,1
spent,spying,1
spying,stone,1
stone,strange,1
strange,thank,1
thank,think,1
think,time,1
time,twice,1
twice,useful,1
useful,usual,1
usual,wanted,1
wanted,years,1
